Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,League,Home_Form_Points,Home_Form_GoalsFor,Home_Form_GoalsAgainst,Away_Form_Points,Away_Form_GoalsFor,Away_Form_GoalsAgainst,Home_Elo,Away_Elo,H2H_HomeWinRate,H2H_Meetings
2020-08-21,Bordeaux,Nantes,0,0,D,Ligue1_2020-21,Ligue 1,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-08-22,Dijon,Angers,0,1,A,Ligue1_2020-21,Ligue 1,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-08-22,Lille,Rennes,1,1,D,Ligue1_2020-21,Ligue 1,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-08-23,Monaco,Reims,2,2,D,Ligue1_2020-21,Ligue 1,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-08-23,Lorient,Strasbourg,3,1,H,Ligue1_2020-21,Ligue 1,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-08-23,Nimes,Brest,4,0,H,Ligue1_2020-21,Ligue 1,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-08-23,Nice,Lens,2,1,H,Ligue1_2020-21,Ligue 1,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-08-28,Lyon,Dijon,4,1,H,Ligue1_2020-21,Ligue 1,1.3583825413190864,1.3917986690411472,1.4135939013340832,0.0,0.0,1.0,1500.0,1487.1987000039423,0.5,0
2020-08-29,Rennes,Montpellier,2,1,H,Ligue1_2020-21,Ligue 1,1.0,1.0,1.0,1.39188551241168,1.4206355905708747,1.3902957543925467,1502.8012999960577,1500.0,0.5,0
2020-08-29,Strasbourg,Nice,0,2,A,Ligue1_2020-21,Ligue 1,0.0,1.0,3.0,3.0,2.0,1.0,1492.8012999960577,1507.1987000039423,0.5,0
2020-08-30,St Etienne,Lorient,2,0,H,Ligue1_2020-21,Ligue 1,1.3583825413190864,1.3917986690411472,1.4135939013340832,3.0,3.0,1.0,1500.0,1507.1987000039423,0.5,0
2020-08-30,Nantes,Nimes,2,1,H,Ligue1_2020-21,Ligue 1,1.0,0.0,0.0,3.0,4.0,0.0,1502.8012999960577,1507.1987000039423,0.5,0
2020-08-30,Metz,Monaco,0,1,A,Ligue1_2020-21,Ligue 1,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.0,2.0,2.0,1500.0,1497.1987000039423,0.5,0
2020-08-30,Angers,Bordeaux,0,2,A,Ligue1_2020-21,Ligue 1,3.0,1.0,0.0,1.0,0.0,0.0,1512.8012999960577,1497.1987000039423,0.5,0
2020-08-30,Brest,Marseille,2,3,A,Ligue1_2020-21,Ligue 1,0.0,0.0,4.0,1.39188551241168,1.4206355905708747,1.3902957543925467,1492.8012999960577,1500.0,0.5,0
2020-08-30,Reims,Lille,0,1,A,Ligue1_2020-21,Ligue 1,1.0,2.0,2.0,1.0,1.0,1.0,1502.8012999960577,1497.1987000039423,0.5,0
2020-09-10,Lens,Paris SG,1,0,H,Ligue1_2020-21,Ligue 1,0.0,1.0,2.0,1.39188551241168,1.4206355905708747,1.3902957543925467,1492.8012999960577,1500.0,0.5,0
2020-09-11,Bordeaux,Lyon,0,0,D,Ligue1_2020-21,Ligue 1,2.0,1.0,0.0,3.0,4.0,1.0,1510.40842589807,1506.8627815140978,0.5,0
2020-09-12,Crystal Palace,Southampton,1,0,H,PL_2020-21,Premier League,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-12,Cadiz,Osasuna,0,2,A,LaLiga_2020-21,La Liga,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-12,Granada,Ath Bilbao,2,0,H,LaLiga_2020-21,La Liga,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-12,Fulham,Arsenal,0,3,A,PL_2020-21,Premier League,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-12,St Etienne,Strasbourg,2,0,H,Ligue1_2020-21,Ligue 1,3.0,2.0,0.0,0.0,0.5,2.5,1507.390723106448,1480.3861334587102,0.5,0
2020-09-12,Liverpool,Leeds,4,3,H,PL_2020-21,Premier League,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-12,West Ham,Newcastle,0,2,A,PL_2020-21,Premier League,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-12,Montpellier,Nice,3,1,H,Ligue1_2020-21,Ligue 1,0.0,1.0,2.0,3.0,2.0,0.5,1492.8754317506314,1519.6138665412898,0.5,0
2020-09-12,Eibar,Celta,0,0,D,LaLiga_2020-21,La Liga,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-13,Nimes,Rennes,2,4,A,Ligue1_2020-21,Ligue 1,1.5,2.5,1.0,2.0,1.5,1.0,1499.8829560165664,1509.9258682454263,0.5,0
2020-09-13,Lille,Metz,1,0,H,Ligue1_2020-21,Ligue 1,2.0,1.0,0.5,0.0,0.0,1.0,1510.1479205774972,1487.1245682493686,0.5,0
2020-09-13,Alaves,Betis,0,1,A,LaLiga_2020-21,La Liga,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-13,Valladolid,Sociedad,1,1,D,LaLiga_2020-21,La Liga,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-13,Villarreal,Huesca,1,1,D,LaLiga_2020-21,La Liga,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-13,Tottenham,Everton,0,1,A,PL_2020-21,Premier League,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-13,Valencia,Levante,4,2,H,LaLiga_2020-21,La Liga,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-13,West Brom,Leicester,0,3,A,PL_2020-21,Premier League,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-13,Lorient,Lens,2,3,A,Ligue1_2020-21,Ligue 1,1.5,1.5,1.5,1.5,1.0,1.0,1499.8079768974944,1500.1920231025056,0.5,0
2020-09-13,Angers,Reims,1,0,H,Ligue1_2020-21,Ligue 1,1.5,0.5,1.0,0.5,1.0,1.5,1499.59157410193,1489.8520794225028,0.5,0
2020-09-13,Dijon,Brest,0,2,A,Ligue1_2020-21,Ligue 1,0.0,0.5,2.5,0.0,1.0,3.5,1480.3359184898445,1480.1920231025056,0.5,0
2020-09-13,Paris SG,Marseille,0,1,A,Ligue1_2020-21,Ligue 1,0.0,0.0,1.0,3.0,3.0,2.0,1492.609276893552,1512.609276893552,0.5,0
2020-09-13,Monaco,Nantes,2,1,H,Ligue1_2020-21,Ligue 1,2.0,1.5,1.0,2.0,1.0,0.5,1510.0741317545737,1510.1170439834336,0.5,0
2020-09-14,Sheffield United,Wolves,0,2,A,PL_2020-21,Premier League,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-14,Brighton,Chelsea,1,3,A,PL_2020-21,Premier League,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-15,Montpellier,Lyon,2,1,H,Ligue1_2020-21,Ligue 1,1.5,2.0,1.5,2.0,2.0,0.5,1500.7975008657772,1509.7578537336128,0.5,0
2020-09-16,Paris SG,Metz,1,0,H,Ligue1_2020-21,Ligue 1,0.0,0.0,1.0,0.0,0.0,1.0,1480.3465404904891,1480.5245429775157,0.5,0
2020-09-17,Marseille,St Etienne,0,2,A,Ligue1_2020-21,Ligue 1,3.0,2.0,1.0,3.0,2.0,0.0,1524.872013296615,1513.8898031752663,0.5,0
2020-09-18,Lyon,Nimes,0,0,D,Ligue1_2020-21,Ligue 1,1.3333333333333333,1.6666666666666667,1.0,1.0,2.3333333333333335,2.0,1502.3198161132138,1487.3501302252341,0.5,0
2020-09-18,Bayern Munich,Schalke 04,8,0,H,Bundesliga_2020-21,Bundesliga,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-19,Werder Bremen,Hertha,1,4,A,Bundesliga_2020-21,Bundesliga,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-19,Rennes,Monaco,2,1,H,Ligue1_2020-21,Ligue 1,2.3333333333333335,2.3333333333333335,1.3333333333333333,2.3333333333333335,1.6666666666666667,1.0,1522.4586940367585,1517.2739699883089,0.5,0
2020-09-19,Lens,Bordeaux,2,1,H,Ligue1_2020-21,Ligue 1,2.0,1.6666666666666667,1.3333333333333333,1.6666666666666667,0.6666666666666666,0.0,1512.9831336272084,1507.513353678555,0.5,0
2020-09-19,Arsenal,West Ham,2,1,H,PL_2020-21,Premier League,3.0,3.0,0.0,0.0,0.0,2.0,1512.8012999960577,1487.1987000039423,0.5,0
2020-09-19,Leeds,Fulham,4,3,H,PL_2020-21,Premier League,0.0,3.0,4.0,0.0,0.0,3.0,1492.8012999960577,1487.1987000039423,0.5,0
2020-09-19,Everton,West Brom,5,2,H,PL_2020-21,Premier League,3.0,1.0,0.0,0.0,0.0,3.0,1512.8012999960577,1487.1987000039423,0.5,0
2020-09-19,Stuttgart,Freiburg,2,3,A,Bundesliga_2020-21,Bundesliga,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-19,Union Berlin,Augsburg,1,3,A,Bundesliga_2020-21,Bundesliga,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-19,Ein Frankfurt,Bielefeld,1,1,D,Bundesliga_2020-21,Bundesliga,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-19,FC Koln,Hoffenheim,2,3,A,Bundesliga_2020-21,Bundesliga,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-19,Man United,Crystal Palace,1,3,A,PL_2020-21,Premier League,1.3583825413190864,1.3917986690411472,1.4135939013340832,3.0,1.0,0.0,1500.0,1507.1987000039423,0.5,0
2020-09-19,Celta,Valencia,2,1,H,LaLiga_2020-21,La Liga,1.0,0.0,0.0,3.0,4.0,2.0,1502.8012999960577,1507.1987000039423,0.5,0
2020-09-19,Getafe,Osasuna,1,0,H,LaLiga_2020-21,La Liga,1.3583825413190864,1.3917986690411472,1.4135939013340832,3.0,2.0,0.0,1500.0,1512.8012999960577,0.5,0
2020-09-19,Villarreal,Eibar,2,1,H,LaLiga_2020-21,La Liga,1.0,1.0,1.0,1.0,0.0,0.0,1497.1987000039423,1497.1987000039423,0.5,0
2020-09-19,Fiorentina,Torino,1,0,H,SerieA_2020-21,Serie A,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-19,Verona,Roma,0,0,D,SerieA_2020-21,Serie A,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-19,Dortmund,M'gladbach,3,0,H,Bundesliga_2020-21,Bundesliga,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-20,Leicester,Burnley,4,2,H,PL_2020-21,Premier League,3.0,3.0,0.0,1.39188551241168,1.4206355905708747,1.3902957543925467,1512.8012999960577,1500.0,0.5,0
2020-09-20,Genoa,Crotone,4,1,H,SerieA_2020-21,Serie A,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-20,Sassuolo,Cagliari,1,1,D,SerieA_2020-21,Serie A,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-20,Nice,Paris SG,0,3,A,Ligue1_2020-21,Ligue 1,2.0,1.6666666666666667,1.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,1511.691797426144,1487.5499624535075,0.5,0
2020-09-20,Strasbourg,Dijon,1,0,H,Ligue1_2020-21,Ligue 1,0.0,0.3333333333333333,2.3333333333333335,0.0,0.3333333333333333,2.3333333333333335,1473.887053389892,1467.5308023009131,0.5,0
2020-09-20,Metz,Reims,2,1,H,Ligue1_2020-21,Ligue 1,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,1473.3211210144973,1482.9096273330892,0.5,0
2020-09-20,Montpellier,Angers,4,1,H,Ligue1_2020-21,Ligue 1,2.0,2.0,1.3333333333333333,2.0,0.6666666666666666,0.6666666666666666,1508.2355384861762,1506.5340261913436,0.5,0
2020-09-20,Wolfsburg,Leverkusen,0,0,D,Bundesliga_2020-21,Bundesliga,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
2020-09-20,Brest,Lorient,3,2,H,Ligue1_2020-21,Ligue 1,1.0,1.3333333333333333,2.3333333333333335,1.0,1.6666666666666667,2.0,1492.997139291437,1487.0168663727916,0.5,0
2020-09-20,Juventus,Sampdoria,3,0,H,SerieA_2020-21,Serie A,1.3583825413190864,1.3917986690411472,1.4135939013340832,1.39188551241168,1.4206355905708747,1.3902957543925467,1500.0,1500.0,0.5,0
